ID,Plant_Name,Growth,Soil,Sunlight,Watering,Suggestions,Photo
70,Плюмерия,умеренный,суглинистый,полный солнечный свет,умеренный (1 раз в 7-14 дней),В период роста полив после просыхания почвы. Зимой в состоянии покоя полив минимален.,Плюмерия.jpg
71,Плющ,умеренный,хорошо дренированный,непрямой солнечный свет,умеренный (1 раз в 7-14 дней),Полив после просыхания верхнего слоя почвы. Устойчив к временной засухе.,Плющ.jfif
72,Подснежник,медленный,хорошо дренированный,полный солнечный свет,умеренный (1 раз в 7-14 дней),Полив во время активного роста. После отмирания листьев в поливе не нуждается.,Подснежник.jpg
73,Потос,быстрый,хорошо дренированный,непрямой солнечный свет,умеренный (1 раз в 7-14 дней),"Полив после того, как просохнет верхний слой почвы. Легко переносит кратковременную засуху.",Потос.jpg
74,Сансевиерия,медленный,хорошо дренированный,непрямой солнечный свет,редкий (1 раз в 1-3 недели),Полив после полного просыхания грунта. Чрезвычайно засухоустойчива.,Сансевиерия.jpg
75,Сингониум,умеренный,хорошо дренированный,непрямой солнечный свет,умеренный (1 раз в 7-14 дней),Полив после просыхания верхнего слоя почвы. Предпочитает высокую влажность воздуха.,Сингониум.jpg
76,Спатифиллум,умеренный,хорошо дренированный,непрямой солнечный свет,регулярный (1-2 раза в неделю),Предпочитает постоянно влажную почву. Сигнализирует о жажде поникшими листьями.,Спатифиллум.jpg
77,Стрелиция,умеренный,хорошо дренированный,непрямой солнечный свет,умеренный (1 раз в 7-14 дней),Полив после просыхания верхнего слоя грунта. Зимой полив сокращают.,Стрелиция.jfif
78,Суккуленты,медленный,песчаный,полный солнечный свет,редкий (1 раз в 1-3 недели),Полив только после полного просыхания грунта. Очень чувствительны к переувлажнению.,Суккуленты.jpg
79,Сциндапсус,умеренный,хорошо дренированный,непрямой солнечный свет,умеренный (1 раз в 7-14 дней),Полив после просыхания верхней трети грунта. Устойчив к кратковременной засухе.,Сциндапсус.jpg
80,Толстянка,умеренный,хорошо дренированный,непрямой солнечный свет,редкий (1 раз в 1-3 недели),Полив после просыхания верхнего слоя грунта на 2-3 см. Не любит перелив.,Толстянка.jpg
81,Традесканция,быстрый,хорошо дренированный,непрямой солнечный свет,умеренный (1 раз в 7-14 дней),Полив после подсыхания верхнего слоя почвы. Быстро вянет при недостатке влаги.,Традесканция.jpg
82,Тюльпан,медленный,песчаный,полный солнечный свет,умеренный (1 раз в 7-14 дней),Во время активного роста почва должна быть влажной. После цветения полив постепенно прекращают.,Тюльпан.jpg
83,Фиалка,умеренный,хорошо дренированный,полный солнечный свет,умеренный (1 раз в 7-14 дней),Полив после просыхания верхнего слоя почвы. Избегайте попадания воды на листья.,Фиалка.jpg
84,Фикус Бенджамина,умеренный,хорошо дренированный,непрямой солнечный свет,умеренный (1 раз в 7-14 дней),Полив после просыхания грунта на 2-3 см вглубь. Сброс листьев при переувлажнении.,Фикус Бенджамина.jpg
85,Фикус Микрокарпа,умеренный,хорошо дренированный,частичный солнечный свет,умеренный (1 раз в 7-14 дней),Полив после просыхания верхнего слоя почвы. Не терпит застоя воды.,Фикус Микрокарпа.jfif
86,Филодендрон,умеренный,хорошо дренированный,непрямой солнечный свет,умеренный (1 раз в 7-14 дней),Полив после просыхания верхнего слоя почвы на 2-3 см.,Филодендрон.jpg
87,Хавортия,медленный,песчаный,непрямой солнечный свет,редкий (1 раз в 1-3 недели),Полив после полного просыхания грунта. Зимой полив очень ограниченный.,Хавортия.jfif
88,Хлорофитум,быстрый,песчаный,непрямой солнечный свет,умеренный (1 раз в 7-14 дней),Полив после просыхания верхнего слоя грунта. Устойчив к нерегулярному поливу.,Хлорофитум.jpg
89,Хойя,медленный,песчаный,непрямой солнечный свет,редкий (1 раз в 1-3 недели),Полив после полной просушки грунта. Зимой полив минимальный.,Хойя.jpg
90,Хризантема,быстрый,хорошо дренированный,полный солнечный свет,регулярный (1-2 раза в неделю),Нуждается в регулярном поливе для формирования крупных цветков.,Хризантема.jpg
91,Цикламен,умеренный,влажный,непрямой солнечный свет,умеренный (1 раз в 7-14 дней),Полив через поддон после легкого подсыхания поверхности грунта.,Цикламен.jpg
92,Эпипремнум,умеренный,хорошо дренированный,непрямой солнечный свет,умеренный (1 раз в 7-14 дней),Полив после просыхания верхней трети грунта. Легко переносит кратковременную засуху.,Эпипремнум.jpeg
93,Юкка,медленный,песчаный,полный солнечный свет,редкий (1 раз в 1-3 недели),Засухоустойчива. Полив после полного просыхания грунта на большую глубину.,Юкка.jpg
94,Ятрофа,умеренный,песчаный,полный солнечный свет,редкий (1 раз в 1-3 недели),"Ярко выраженный период покоя. Летом полив после полной просушки, зимой — без полива.",Ятрофа.jpg
